country,bal_september,bal_ytd,bal_rank,exp_september,exp_ytd,exp_rank,september_cus,ytd_cus
China,-31622.4678,-263198.4334,1,8597.674348,78761.98774,3,42005.37074,357349.3477
Mexico**,-8880.862975,-76148.64927,2,20633.92656,194104.2282,2,29769.02018,272638.7853
Japan,-5050.457966,-53668.2758,3,5781.963697,55412.14644,4,11091.52815,111634.5762
Germany,-4785.258888,-50798.29709,4,5508.813584,45269.49263,6,10487.28065,97879.75665
Vietnam,-5379.966025,-40958.51697,5,804.843214,8059.875897,27,6434.298387,50966.58685
Ireland,-4833.435265,-38765.29239,6,768.087477,6717.363086,31,5618.790082,45646.29907
Italy,-2214.455248,-24936.22813,7,2272.012408,18025.87006,17,4602.015094,44135.65651
Malaysia,-2345.553481,-19666.26339,8,1058.618484,9427.395604,26,3487.069353,29774.16093
Switzerland,-2472.544138,-19189.50272,9,1458.858149,13295.70786,19,3972.657034,32855.11885
India,-2127.433725,-17852.94862,10,2516.36373,25996.28252,12,4816.987141,45552.46564
Taiwan,-2077.52715,-17425.51612,11,2538.835238,22788.43098,15,4759.22936,41499.37781
Canada**,-2539.266875,-16955.44157,12,24373.44959,221667.3115,1,27502.523,244190.8056
"Korea, South*",-1097.790542,-15965.64727,13,4522.047159,42143.20741,7,5802.767659,59988.72998
France,-1488.407563,-15360.94762,14,2869.790341,27919.08669,10,4430.297717,44014.49081
Thailand,-1696.247636,-14931.77156,15,1090.577308,9710.738394,25,2894.337626,25627.80815
Russia,-1164.399946,-11512.14868,16,374.550692,4440.190855,39,1597.867637,16591.10186
Indonesia,-1035.712191,-9063.560164,17,681.476779,5931.11518,34,1805.345824,15753.16347
Sweden,-533.387291,-5737.24317,18,357.068426,3171.286841,46,931.558592,9355.23161
Denmark,-581.456937,-5358.314151,19,250.128921,2174.494808,54,847.958259,7655.45824
Austria,-631.538564,-5037.085518,20,334.069156,4775.346018,37,988.608458,10058.05414
Iraq,-536.913588,-4474.430128,21,120.575704,977.994896,74,677.379456,5606.038174
Israel*,-447.604782,-4098.831273,22,1095.422989,10934.74155,23,1573.871209,15328.53473
Slovakia,-318.528388,-3960.083425,23,23.48344,305.974722,109,346.926083,4313.636161
Bangladesh,-223.919115,-3749.504384,24,320.438501,1400.456286,62,562.771447,5326.756773
Finland,-251.26043,-3577.949492,25,129.57079,1394.619773,63,394.56687,5137.131108
Cambodia,-556.290628,-3564.701204,26,45.215658,399.884739,101,627.368041,4120.807579
Philippines,-320.684984,-3025.621591,27,733.23354,6489.15209,32,1084.848297,9839.056732
Hungary,-338.340119,-2371.549172,28,136.611731,1401.611188,61,483.270217,3849.845956
Norway,-375.416096,-2270.016151,29,220.620782,2946.895069,47,622.344647,5457.579534
Czech Republic,-264.943695,-2005.117662,30,211.916208,2121.782612,55,490.750695,4254.740668
Poland,-251.355179,-1899.444059,31,416.620604,4396.988017,40,688.131777,6504.545119
Sri Lanka,-183.528351,-1806.887846,32,39.053026,284.309192,114,232.258863,2181.798092
Portugal,-80.054992,-1669.554087,33,162.201675,1257.27464,66,252.428436,3038.595906
South Africa,-222.085406,-1668.940648,34,441.974744,4054.981642,44,679.642064,5866.684648
Nicaragua**,-205.356956,-1645.370305,35,132.317956,1254.579568,68,347.0648,2981.861309
Algeria,-112.93607,-1466.872616,36,30.122457,772.66152,78,151.299386,2345.539664
Nigeria,-186.177429,-1270.030164,37,278.386527,2342.47737,53,478.16993,3725.435504
Pakistan,-108.973718,-1236.945193,38,207.533341,1722.489938,59,333.714299,3103.565901
Spain,283.002481,-1176.167995,39,1519.788786,11310.10537,21,1289.991351,12991.16158
Romania,-104.894407,-1130.045091,40,87.417148,693.491933,80,198.96366,1887.293688
Venezuela,56.066426,-872.572174,41,72.738193,991.809139,72,17.527625,1943.190911
Libya,-73.936369,-858.909477,42,29.155713,285.115821,113,107.504726,1198.317316
Ecuador,-60.36451,-850.397796,43,457.92796,4198.200261,42,546.402052,5339.418927
Madagascar,-35.132447,-616.954023,44,5.29996,48.331214,164,41.405275,675.610092
