reporter_name,partner_name,year,trade_flow,no-of_imported_HS6_digit_products,import_share_in_total_products_percent,import_us_dollars_thousand,import_partner_share,ahs_simple_average,ahs_weighted_average_percent,ahs_total_tariff_lines,ahs_dutiable_tariff_lines_share_percent,ahs_duty_free_tariff_lines_share_percent,ahs_specific_tariff_lines_share_percent,ahs_ave_tariff_lines_share_percent,ahs_maxrate_percent,ahs_minrate_percent,ahs_specific_duty_imports_us_dollars_thousand,ahs_dutiable_imports_us_dollars_thousand,ahs_duty_free_imports_us_dollars_thousand,mfn_simple_average_percent,mfn_weighted_average_percent,mfn_total_tariff_lines,mfn_dutiable_tariff_lines_share_percent,mfn_duty_free_tariff_lines_share_percent,mfn_specific_tariff_lines_share_percent,mfn_ave_tariff_lines_share_percent,mfn_max_rate_percent,mfn_minrate_percent,mfn_specific_duty_imports_us_dollars_thousand,mfn_dutiable_imports_us_dollars_thousand,mfn_duty_free_imports_us_dollars_thousand,no_of_tariff_agreement
 World,Aruba,2017,Import,1129,23.39,283422.91,0,11.44,4.76,4678,39.46,59.09,0.15,1.3,274.5,0,1066.76,119207.21,134326.5,10.03,7.38,244036,69.16,26.49,25.72,201.62,3000,0,68905.37,220941.41,32592.29,9
 World,Afghanistan,2017,Import,1228,25.44,915092.19,0.01,4.22,1.55,6395,34.5,64.38,0.09,1.03,754.3,0,15.69,329359.73,151132.82,9.9,10.5,217280,70.78,24.93,14.2,131.67,3000,0,124104.32,480492.54,0,32
 World,Angola,2017,Import,2348,48.64,33691250.22,0.21,3.62,0.5,11494,43.86,54.39,0.15,1.6,282.8,0,1535.53,2512353.26,10153826.16,9.16,3.35,443993,69.41,26.52,18.44,138.73,3000,0,9854906.95,12422632.16,243547.26,28
 World,Anguila,2017,Import,439,9.09,12375.16,0,8.31,6.26,1746,44.04,52,0.4,3.55,754.3,0,150.06,4651.41,4315.99,10.53,20.65,102961,69.4,25.4,28.01,278.24,3000,0,3626.63,8967.39,0,15
 World,Albania,2017,Import,2391,49.53,2397286.83,0.01,1.98,4.66,19764,21.62,72.44,0.23,5.7,3000,0,120437.69,1490325.11,579309.18,9.72,10.6,458169,70.77,25.04,9.68,87.43,3000,0,617000.66,2043803.74,25830.55,22
 World,Andorra,2017,Import,1127,23.35,112094.64,0,3.01,1.81,8705,21.36,75.68,0.23,2.73,3000,0,16769.53,79365.05,58172.67,10.28,7.79,319321,70.81,24.78,20.44,141.34,3000,0,52258.33,137527.99,9.73,7
 World,United Arab Emirates,2017,Import,4427,91.71,153734061.8,0.95,5.08,3.19,95802,48.84,47.37,0.5,3.29,3000,0,41566046.48,111874408,12396872.18,9.27,5.92,836210,70.04,25.98,3.77,30.95,3000,0,46193447.66,112579538.5,11691741.67,31
 World,Argentina,2017,Import,3839,79.53,55934995.08,0.35,3.63,7.81,72038,35.66,60.08,0.33,3.93,3000,0,3442248.99,47617202.48,2199457.12,9.26,11.41,751453,69.96,25.95,4.37,38.33,3000,0,14246368.07,48704207.43,1112452.17,66
 World,Armenia,2017,Import,1687,34.95,1775654.49,0.01,2.71,5.59,12441,21.6,69.54,0.84,8.02,914.2,0,285795.28,1115358.67,322417.78,10.66,20.08,299436,70.23,24.43,13.46,115.22,3000,0,391239.15,1437727.28,49.16,18
 World,American Samoa,2017,Import,750,15.54,36765.52,0,8.72,4.86,2382,63.43,33.92,0.71,1.93,754.3,0,9.4,25887.18,8604.71,10.21,6.76,163908,70.28,24.69,44,302.31,3000,0,4989.09,34460.16,31.73,2
 World,Antarctica,2017,Import,150,3.11,5663.65,0,6.09,1.73,379,58.84,38.79,0,2.37,754.3,0,0,1806.25,5660.43,7.85,6.55,30322,67.43,29.76,23.48,201.32,3000,0,867.19,7443.99,22.7,3
 World,Fr. So. Ant. Tr,2017,Import,94,1.95,10401.35,0,2.16,0.19,410,12.44,86.83,0,0.73,43.2,0,0,298.46,9019.86,9.97,9.41,18419,63.97,31.49,20.73,183.41,3000,0,6258.69,9304.39,13.93,5
 World,Antigua and Barbuda,2017,Import,825,17.09,294216.02,0,1.02,2.16,5278,10.67,85.26,0.42,3.66,126.38,0,467.95,128130.67,25575.07,10.77,5.2,239760,70.07,25.44,18.15,185.56,3000,0,8690.46,144767.11,8938.64,29
 World,Australia,2017,Import,4434,91.86,238175750.4,1.48,5.77,4.39,154965,48.26,47.73,0.3,3.71,3000,0,15314815.33,209276193.9,4355435.52,9.17,6.59,846785,69.92,26.06,2.39,19.54,3000,0,23412414.05,213330235.1,301394.34,15
